inputFileSize,function,pixelCount,parsingTimeSingleThread,parsingTimeMultipleThreads,parsingSpeedupFactor,timeTakenFunctionExecutionSingleThread,timeTakenFunctionExecutionMultipleThreads,functionExecutionSpeedupFactor
large,bicubicResize,32879000,64,55,1.2,915,157,5.8
large,bilinearResize,32879000,65,53,1.2,162,31,5.2
large,imageParsing,32879000,67,54,1.2,67,54,1.2
large,boxBlur,32879000,68,54,1.3,17004,3697,4.6
large,bucketFill,32879000,77,62,1.2,4526,3890,1.2
large,gaussianBlur,32879000,66,52,1.3,101202,25394,4.0
large,motionBlur,32879000,70,53,1.3,3751,731,5.1
large,nearestNeighborResize,32879000,66,52,1.3,36,24,1.5
medium,bicubicResize,15698100,31,29,1.1,918,159,5.8
medium,bilinearResize,15698100,30,28,1.1,161,33,4.9
medium,imageParsing,15698100,31,30,1.0,31,30,1.0
medium,boxBlur,15698100,31,30,1.0,7933,1580,5.0
medium,bucketFill,15698100,37,34,1.1,2425,1350,1.8
medium,gaussianBlur,15698100,29,32,0.9,48797,11862,4.1
medium,motionBlur,15698100,38,34,1.1,1865,353,5.3
medium,nearestNeighborResize,15698100,32,29,1.1,31,16,1.9
small,bicubicResize,1490000,4,5,0.8,902,167,5.4
small,bilinearResize,1490000,4,5,0.8,161,33,4.9
small,imageParsing,1490000,3,6,0.5,3,6,0.5
small,boxBlur,1490000,4,5,0.8,767,171,4.5
small,bucketFill,1490000,4,6,0.7,160,78,2.1
small,gaussianBlur,1490000,5,5,1.0,4543,1379,3.3
small,motionBlur,1490000,6,6,1.0,170,41,4.1
small,nearestNeighborResize,1490000,4,4,1.0,33,17,1.9
